"caseid","bibkey","scat","code","selfirst","selend"
27,"silvergleid2006batterer","S3","THMA",53442,55560
29,"sullivan2002findings","S3","QTDESC",57703,39697
29,"sullivan2002findings","S3","TTEST",57703,39697
29,"sullivan2002findings","S3","X2D",57703,39697
29,"sullivan2002findings","S3","MANCOVA",57703,39697
29,"sullivan2002findings","S3","ANCOVA",57703,39697
29,"sullivan2002findings","S3","RMANOVA",57703,39697
29,"sullivan2002findings","S3","MLTV",57703,39697
33,"thompson2000identification","S3","QTDESC",64926,67124
33,"thompson2000identification","S3","X2D",64926,67124
33,"thompson2000identification","S3","TTEST",64926,67124
33,"thompson2000identification","S3","ANOVA",64926,67124
33,"thompson2000identification","S3","LNR",64926,67124
33,"thompson2000identification","S3","CORR",64926,67124
33,"thompson2000identification","S3","LGR",64926,67124
33,"thompson2000identification","S3","OR",64926,67124
17,"welland2010culturally","S3","CCA",35145,37247
17,"welland2010culturally","S3","THMA",35145,37247
17,"welland2010culturally","S3","QTDESC",35145,37247
106,"balsam2005relationship","S4","QTDESC",187048,188553
106,"balsam2005relationship","S4","CORR",187048,188553
106,"balsam2005relationship","S4","PATH",187048,188553
103,"blosnich2009comparisons","S4","QTDESC",183394,184479
103,"blosnich2009comparisons","S4","X2D",183394,184479
103,"blosnich2009comparisons","S4","OR",183394,184479
103,"blosnich2009comparisons","S4","LGR",183394,184479
103,"blosnich2009comparisons","S4","WLSE",183394,184479
67,"edwards2016college","S4","QTDESC",129408,131376
67,"edwards2016college","S4","CORR",129408,131376
67,"edwards2016college","S4","ANOVA",129408,131376
67,"edwards2016college","S4","X2D",129408,131376
67,"edwards2016college","S4","PHCOMP",129408,131376
91,"glass2008risk","S4","QLDESC",167673,169471
91,"glass2008risk","S4","GT-QL",167673,169471
91,"glass2008risk","S4","THMA",167673,169471
91,"glass2008risk","S4","CORR",167673,169471
91,"glass2008risk","S4","RRR",167673,169471
91,"glass2008risk","S4","QTDESC",167673,169471
91,"glass2008risk","S4","LGR",167673,169471
74,"lewis2014sexual","S4","DESC",141810,143900
74,"lewis2014sexual","S4","CFA",141810,143900
74,"lewis2014sexual","S4","BOOT",141810,143900
74,"lewis2014sexual","S4","MLE",141810,143900
74,"lewis2014sexual","S4","SEM",141810,143900
74,"lewis2014sexual","S4","SEM-FULL",141810,143900
74,"lewis2014sexual","S4","MED",141810,143900
74,"lewis2014sexual","S4","INDEFF",141810,143900
77,"mustanski2014syndemic","S4","SEM",147290,148986
77,"mustanski2014syndemic","S4","OR",147290,148986
77,"mustanski2014syndemic","S4","MGM",147290,148986
77,"mustanski2014syndemic","S4","RRR",147290,148986
77,"mustanski2014syndemic","S4","CORR",147290,148986
77,"mustanski2014syndemic","S4","LVM",147290,148986
77,"mustanski2014syndemic","S4","CFA",147290,148986
77,"mustanski2014syndemic","S4","IRT",147290,148986
77,"mustanski2014syndemic","S4","WLSE",147290,148986
77,"mustanski2014syndemic","S4","MLR",147290,148986
77,"mustanski2014syndemic","S4","DESC",147290,148986
77,"mustanski2014syndemic","S4","X2D",147290,148986
50,"oswald2010lesbian","S4","QLDESC",97502,99907
50,"oswald2010lesbian","S4","THMA",97502,99907
50,"oswald2010lesbian","S4","THMA-GRP",97502,99907
69,"sylaska2015disclosure","S4","QTDESC",133023,134888
69,"sylaska2015disclosure","S4","TTEST",133023,134888
69,"sylaska2015disclosure","S4","QLDESC",133023,134888
69,"sylaska2015disclosure","S4","THMA",133023,134888
69,"sylaska2015disclosure","S4","CNTA",133023,134888
